﻿X,Y,name
22.5886582,42.0178835,Shizik Restaurant
22.5899229,42.0195336,"""Koko"" Restaurant"
22.5925757,42.0178073,Zlatina
22.5892057,42.0218468,Delirium
22.5890919,42.0225504,Bumbarche
22.5893701,42.0217484,Клиф
22.5900047,42.021859,District Lounge Bar
22.590261,42.0228743,Jafer
22.5900747,42.0229302,Hawaii Lounge Bar
22.5889401,42.0244107,Шизик
20.8820185,42.0113442,Конак
20.8866832,42.0138371,casa leone
20.9351278,42.0189508,Driada
22.90042,41.3709709,Ресторан АтлантиС Смоларски Водопат
22.8968221,41.3881711,Лебедово езеро
22.8383014,41.7381241,miss Stoun
22.85985,41.70396,Ристово Меанче 2
22.8645,41.69802,Мило
22.85717,41.70471,Мрс
22.8581787,41.7058839,Чардак
22.86112,41.70425,Јуовец
22.8525277,41.7103402,Калипсо
22.8869357,41.7619502,Хотел Гогов
22.4988477,41.1373679,Restoran Sarisa
22.4963093,41.1622759,Јавор Агапи
22.5047905,41.140319,Арт кафе Гевгелија
22.5034378,41.1414088,Идила
22.5011779,41.146047,ТДЦ-3
22.504514,41.1651247,Јавор Џоко
21.4725098,41.9824716,Pizza Amica
21.4711307,41.9830723,Coffeelix
21.4755231,41.9811549,Royal Burger
21.4755669,41.9799593,Игротека Be Happy
21.4762981,41.9815558,Игротека Чекорче
21.4758817,41.9894222,Кафе Мамбо
21.4768613,41.9897212,Кафе Писта
21.4826074,41.9788465,Ресторан Златник
21.4808444,41.9837709,Segreto Plus
21.4868617,41.9834046,Игротека Вини Пу
21.4871492,41.9843967,Рибен ресторан Рибар (Одисеја)
21.3722969,42.0071574,Badu
21.3740403,42.0063483,Aleksandrija
21.3741187,42.0065185,62
21.8645555,42.1324603,Fratelis
21.8626404,42.1574387,Етно Село
22.1926393,41.7427284,Angel's Caffe
22.6230389,41.8339517,Ribnik Blatec
22.1834072,41.735007,Ридарска чешма
22.1844523,41.7350696,Чешма “Св.Спас“
22.44631,41.629596,Magmar
22.455839,41.632766,Diamond disco
22.456789,41.633895,Santa Maria pizza
22.464019,41.63414,Gone
22.46449,41.633496,Sopka
22.4648163,41.6341662,Coffe House Downtown
22.465724,41.634656,Vrteska
22.462943,41.636566,Karagjoz
22.461848,41.637946,Fast Food Melani
22.462999,41.636975,Virus
22.463272,41.637611,Makedonsko Sonce
22.465528,41.637782,Lipa
22.4698529,41.6337176,Restoran Shampion
22.460143,41.639155,Escape
22.461401,41.638261,Ti-Amo
22.461327,41.639065,Beverli hils
22.460188,41.639759,Target
22.461378,41.640184,Getsbi pizza
22.460412,41.640957,Jocker pizza
22.46164,41.638201,Grill Melani
22.462186,41.639133,Sona
22.462199,41.63925,Lastik
22.46306,41.638767,Maslac
22.004638,41.4347168,Moskva
22.0116142,41.4331716,Aleksandrija
22.0130335,41.4327641,Buki
22.0117213,41.4336468,Toskano
22.0116563,41.4341433,Marilyn
22.0116649,41.4348833,Energi's
22.0136796,41.4337258,Makedonska Kuka
22.0137691,41.4339698,Fast Food
22.0143629,41.4332378,Kaj Roka
22.0157848,41.4345938,Marilyn
22.0110601,41.437027,Roma
22.0110153,41.4372049,Total
22.0104295,41.4398268,Picaso
22.0113116,41.4358281,Лего
22.0131384,41.4352466,Blue Cafe
22.0333387,41.397022,Tropic
22.0167719,41.4343878,Light Cofee
22.0215553,41.4347276,Brioni
22.0228438,41.4334495,Винска Куќа
22.0187521,41.4389417,Moneta
22.0096102,41.4410295,Exclusive
22.0111128,41.4412564,Kico
22.0115107,41.4412063,Ramazzoti
22.0121336,41.4411582,Spandja
22.0135418,41.4407867,Riben restorant
22.3059103,42.1902652,Борче
22.3089155,42.192289,Облаче
22.3345505,42.2018022,Promes Grill
22.3355446,42.2022003,Select Caffe
22.335623,42.2026632,Аквариум
22.3355793,42.2027771,Restaurant Osogovec
22.3362079,42.2056104,Galerija
22.336137,42.205828,Royal Lounge Bar
22.3365517,42.2058845,Fashion cafe
22.3598489,42.19038,Vodenicata 3
22.0980414,42.1712493,Гого Монд
22.1639057,42.1826707,Park
21.5737139,41.9973758,Gyroland
21.5888229,41.9864102,Royal Food Zlate
21.6126147,41.9953625,Конак Јазбиње
21.5078989,41.9932328,Гостилница Софра
21.5099084,41.9951884,Пицерија Кремисимо
21.5093746,41.9956244,Ketering Vkusno
21.5137772,42.027601,Лав Фонтана
22.0953457,41.4895975,Rubiko
22.3171977,41.6245987,Пилав Тепе
21.6985476,42.1288686,Restaurant Arcus
21.7055087,42.1322787,eliba lounge bar
21.704157,42.1373364,Kumanovo
21.7041267,42.1375281,adra
21.6999903,42.1395687,Mocha Caffe
21.733628,42.1208566,Exclusive
21.7448727,42.1214792,Terazza
21.7181577,42.1317263,Рим-Париз
21.7173139,42.1325071,Julia
21.7206493,42.1320465,Restoran Prado
21.7128683,42.1331153,Relax
21.712736,42.1333648,Donita
21.7131719,42.1333475,Ambrella
21.7162124,42.1329068,Art Cafe CARIGRAD
21.7173429,42.1338027,Аркадија
21.7176862,42.1343433,city
21.718448,42.13429,Зафир
21.7183301,42.1345469,Џу Џу Бургер
21.7189408,42.1341627,Франш
21.7189898,42.134282,Irish Pub
21.7187933,42.1343519,Корзо
21.7197998,42.1345864,Revolution
21.7174092,42.1366097,Касапски круг
21.7187383,42.1361779,Нама Кафе
