?X,Y,name
21.441738,41.99462,samocod
21.4457433,41.9878133,???????? ?????
21.446918,41.991008,Club Colloseum
21.4341981,42.0128215,Kandi
21.4349372,42.0198926,Prince
21.4307185,42.0229923,Beta
21.4412533,42.0195979,??????
21.4448873,42.1382444,Etna Elena
21.9522494,41.5237914,Kaj Zika
21.9361758,41.581813,Vinarija Stobi
21.9748986,41.5502944,?????
21.4264143,41.9922468,DejaVu
21.4266738,41.9922273,Istanbul
21.4278104,41.9928812,??????
21.4275081,41.9936252,????
21.4276093,41.9948293,7 ????? ????????
21.4293734,41.9923772,Corsso
21.4297981,41.9925716,Damaskino
21.429836,41.992653,???? ????
21.4298728,41.9927362,Caffe Bar Dolce Vita
21.4301208,41.9927317,"Lounge Bar & Restaurant ""Square 21"""
21.4295835,41.9932203,GastrotecaSiesta
21.4295835,41.9932432,GastrotecaSiesta
21.4300742,41.9933026,Amigos ??????????? ???????
21.4301082,41.9933851,?????? ???
21.4302256,41.9929701,Caffe Novo
21.4302496,41.9930256,Pizza FRESKO
21.430365,41.9938562,Gnezdo
21.4290413,41.9947622,Centar Bar
21.4306195,41.9944452,Bistro Skopje
21.4308588,41.9949424,DRAMA coffee house
21.426176,41.9955629,Piazza Liberta
21.4271773,41.9954521,????
21.4268984,41.9964359,Mr. Jack
